;parent;child;hex;r;g;b;luminance;brightness;hue;brightness_lab;jarak;intensity;intensity_label;saturation
0;Pink_colors;Pink;FF C0 CB;255;192;203;206.188;216.666666667;349.523809524;light;2176;216.666666667;bright;0.140939597315
1;Pink_colors;LightPink;FF B6 C1;255;182;193;198.314;210.0;350.95890411;light;2756;210.0;bright;0.16704805492
2;Pink_colors;HotPink;FF 69 B4;255;105;180;142.305;180.0;330.0;light;13921;180.0;bright;0.416666666667
3;Pink_colors;DeepPink;FF 14 93;255;20;147;79.1304;140.666666667;327.574468085;base;40016;140.666666667;bright;0.854545454545
4;Pink_colors;PaleVioletRed;DB 70 93;219;112;147;137.2752;159.333333333;340.373831776;base;10832;159.333333333;bright;0.265508684864
5;Pink_colors;MediumVioletRed;C7 15 85;199;21;133;66.9292;117.666666667;322.247191011;base;38281;117.666666667;dull;0.809090909091
6;Red_colors;LightSalmon;FF A0 7A;255;160;122;177.4534;179.0;17.1428571429;light;4736;179.0;bright;0.352785145889
7;Red_colors;Salmon;FA 80 72;250;128;114;152.9264;164.0;6.17647058824;base;8969;164.0;bright;0.363636363636
8;Red_colors;DarkSalmon;E9 96 7A;233;150;122;165.6242;168.333333333;15.1351351351;base;4680;168.333333333;bright;0.278195488722
9;Red_colors;LightCoral;F0 80 80;240;128;128;151.8112;165.333333333;0.0;base;8369;165.333333333;bright;0.281407035176
10;Red_colors;IndianRed;CD 5C 5C;205;92;92;116.0238;129.666666667;0.0;base;15476;129.666666667;bright;0.284634760705
11;Red_colors;Crimson;DC 14 3C;220;20;60;65.408;100.0;348.0;base;38441;100.0;dull;0.833333333333
12;Red_colors;Firebrick;B2 22 22;178;34;34;64.6144;82.0;0.0;dark;34493;82.0;dull;0.679245283019
13;Red_colors;DarkRed;8B 00 00;139;0;0;29.5514;46.3333333333;0.0;dark;52432;46.3333333333;dull;1.0
14;Red_colors;Red;FF 00 00;255;0;0;54.213;85.0;0.0;dark;48256;85.0;dull;1.0
15;Orange_colors;OrangeRed;FF 45 00;255;69;0;103.5618;108.0;16.2352941176;base;23209;108.0;dull;1.0
16;Orange_colors;Tomato;FF 63 47;255;99;71;130.144;141.666666667;9.13043478261;base;15289;141.666666667;bright;0.564417177914
17;Orange_colors;Coral;FF 7F 50;255;127;80;150.8194;154.0;16.1142857143;base;9521;154.0;bright;0.522388059701
18;Orange_colors;DarkOrange;FF 8C 00;255;140;0;154.341;131.666666667;32.9411764706;base;7376;131.666666667;bright;1.0
19;Orange_colors;Orange;FF A5 00;255;165;0;172.221;140.0;38.8235294118;base;4201;140.0;bright;1.0
20;Yellow_colors;Yellow;FF FF 00;255;255;0;236.589;170.0;60.0;base;3121;170.0;bright;1.0
21;Yellow_colors;LightYellow;FF FF E0;255;255;224;252.7618;244.666666667;60.0;light;3121;244.666666667;bright;0.0647181628392
22;Yellow_colors;LemonChiffon;FF FA CD;255;250;205;247.814;236.666666667;54.0;light;2756;236.666666667;bright;0.108695652174
23;Yellow_colors;LightGoldenrodYellow ;FA FA D2;250;250;210;247.112;236.666666667;60.0;light;2381;236.666666667;bright;0.0851063829787
24;Yellow_colors;PapayaWhip;FF EF D5;255;239;213;240.5244;235.666666667;37.1428571429;light;2129;235.666666667;bright;0.0897435897436
25;Yellow_colors;Moccasin;FF E4 B5;255;228;181;230.3468;221.333333333;38.1081081081;light;1744;221.333333333;bright;0.169724770642
26;Yellow_colors;PeachPuff;FF DA B9;255;218;185;223.4836;219.333333333;28.2857142857;light;1604;219.333333333;bright;0.159090909091
27;Yellow_colors;PaleGoldenrod;EE E8 AA;238;232;170;228.7992;213.333333333;54.7058823529;light;785;213.333333333;bright;0.153846153846
28;Yellow_colors;Khaki;F0 E6 8C;240;230;140;225.628;203.333333333;54.0;light;821;203.333333333;bright;0.243902439024
29;Yellow_colors;DarkKhaki;BD B7 6B;189;183;107;178.7884;159.666666667;55.6097560976;base;1765;159.666666667;bright;0.191588785047
30;Yellow_colors;Gold;FF D7 00;255;215;0;207.981;156.666666667;50.5882352941;base;1601;156.666666667;bright;1.0
31;Brown_colors;Cornsilk;FF F8 DC;255;248;220;247.4666;241.0;48.0;light;2624;241.0;bright;0.0736842105263
32;Brown_colors;BlanchedAlmond;FF EB CD;255;235;205;237.086;231.666666667;36.0;light;1961;231.666666667;bright;0.108695652174
33;Brown_colors;Bisque;FF E4 C4;255;228;196;231.4298;226.333333333;32.5423728814;light;1744;226.333333333;bright;0.130820399113
34;Brown_colors;NavajoWhite;FF DE AD;255;222;173;225.478;216.666666667;35.8536585366;light;1636;216.666666667;bright;0.191588785047
35;Brown_colors;Wheat;F5 DE B3;245;222;179;223.7852;215.333333333;39.0909090909;light;936;215.333333333;bright;0.148648648649
36;Brown_colors;Burlywood;DE B8 87;222;184;135;188.541;180.333333333;33.7931034483;light;1073;180.333333333;bright;0.205673758865
37;Brown_colors;Tan;D2 B4 8C;210;180;140;183.49;176.666666667;34.2857142857;light;1321;176.666666667;bright;0.159090909091
38;Brown_colors;RosyBrown;BC 8F 8F;188;143;143;152.567;158.0;0.0;base;6058;158.0;bright;0.0967741935484
39;Brown_colors;SandyBrown;F4 A4 60;244;164;96;176.0984;168.0;27.5675675676;base;3545;168.0;bright;0.408839779006
40;Brown_colors;Goldenrod;DA A5 20;218;165;32;166.6652;138.333333333;42.9032258065;base;2610;138.333333333;bright;0.744
41;Brown_colors;DarkGoldenrod;B8 86 0B;184;134;11;135.7494;109.666666667;42.6589595376;base;7685;109.666666667;dull;0.887179487179
